name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
N国检,建筑施工,北京,28.07,5500.0,22000.0,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,6.12,20161109
N富森美,房产服务,四川,25.84,4400.0,44000.0,412626.25,37845.37,32293.06,11014.32,0.25,0.982,6.86,4.93,20161109
大西洋,钢加工,四川,102.39,82872.46,89760.47,263382.38,128575.7,42554.55,44795.98,0.5,0.043,2.06,2.87,20010227
海天精工,机床制造,浙江,20.14,5220.0,52200.0,187728.44,105170.11,66778.5,27638.6,0.53,0.098,2.14,1.22,20161107
丝路视觉,软件服务,深圳,76.16,2780.0,11113.33,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,3.16,20161104
共达电声,元器件,山东,330.72,36000.0,36000.0,123440.81,56817.76,35082.37,6423.6,0.18,0.04,1.78,9.84,20120217
云南能投,化工原料,云南,42.02,37170.21,55832.92,326561.63,157682.91,92325.59,118614.21,2.12,0.319,3.87,4.62,20060627
金贵银业,小金属,湖南,81.92,28998.92,50329.05,789695.38,595910.06,88187.75,52096.26,1.04,0.263,4.14,6.95,20140128
准油股份,石油开采,新疆,0.0,17656.46,23917.74,83165.5,24390.51,17552.9,22058.7,0.92,-0.314,1.47,17.66,20080128
快克股份,专用机械,江苏,26.19,2300.0,9200.0,31503.91,24610.15,3820.6,5890.22,0.64,0.7490000000000001,3.53,7.41,20161108
金路集团,化工原料,四川,330.63,56343.35,60918.23,140416.44,31405.95,92559.03,4489.06,0.07,0.03,1.26,10.41,19930507
道明光学,化工原料,浙江,151.99,55341.55,59172.1,158597.95,70469.31,52428.42,54766.23,0.93,0.065,2.4,5.5,20111122
和科达,专用机械,深圳,131.27,2500.0,10000.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,7.79,20161025
河池化工,农药化肥,广西,0.0,29404.96,29405.93,90039.24,32123.64,56923.1,4456.81,0.15,-0.344,-0.17,-125.76,19991202
理工光科,电器仪表,湖北,95.05,1400.0,5566.85,36303.26,32075.15,2528.71,4351.91,0.78,0.28,6.49,5.47,20161101
中央商场,百货,江苏,85.04,114833.47,114833.47,1615438.88,1296323.25,207404.69,1277.0,0.01,0.07,1.5,5.28,20000926
国栋建设,其他建材,四川,0.0,118088.0,151055.0,314701.94,48344.59,221368.02,102057.11,0.68,-0.063,1.71,5.6,20010524
新宏泰,电气设备,江苏,121.77,3705.0,14816.0,92116.24,71647.63,11197.19,27593.13,1.86,0.4,5.39,9.95,20160701
路畅科技,汽车配件,深圳,155.77,3000.0,12000.0,122260.4,74255.15,36769.68,20449.9,1.7,0.321,5.51,12.11,20161012
天通股份,元器件,浙江,80.72,75997.14,83047.14,439588.84,208874.13,138865.47,261174.16,3.14,0.131,4.33,3.25,20010118
集智股份,电器仪表,浙江,106.31,1200.0,4800.0,19416.78,13806.1,612.56,4179.06,0.87,0.494,4.82,14.52,20161021
塞力斯,医药商业,湖北,57.92,1274.0,5094.0,77416.15,59829.63,13797.23,18963.81,3.72,0.978,13.37,5.65,20161031
山东黄金,黄金,山东,87.54,142307.23,185711.88,2391635.25,271120.38,892821.81,2927.65,0.02,0.51,7.2,6.4,20030828
五洲新春,机械基件,浙江,81.5,5060.0,20240.0,141303.77,76346.06,43759.8,21430.35,1.06,0.33299999999999996,4.71,7.67,20161025
中潜股份,专用机械,广东,257.31,2125.0,8490.74,74429.15,33867.21,8410.71,17009.09,2.0,0.34,5.64,16.58,20160802
黄山胶囊,化学制药,安徽,85.43,2167.0,8667.0,43119.96,17945.15,19053.17,5356.1,0.62,0.501,5.48,10.41,20161025
汇顶科技,元器件,深圳,78.31,4500.0,44500.0,213549.59,184013.91,14960.98,3422.9,0.08,1.51,3.76,37.56,20161017
中富通,通信设备,福建,47.45,1753.0,7012.0,38418.71,35326.3,2352.32,5218.06,0.74,0.414,5.6,4.68,20161101
古鳌科技,专用机械,上海,294.44,1836.0,7336.0,45062.06,38999.87,4841.93,4448.41,0.61,0.28,3.93,21.03,20161018
和仁科技,软件服务,浙江,141.39,2000.0,8000.0,40646.25,25825.73,456.6,3297.9,0.41,0.59,3.12,26.59,20161018
康芝药业,化学制药,海南,134.51,43791.75,45000.0,215559.72,148885.92,30300.75,111650.52,2.48,0.073,3.99,3.28,20100526
湖南黄金,黄金,湖南,120.08,99610.96,120203.95,629359.25,184844.8,204310.38,129106.65,1.07,0.09,3.79,3.74,20070816
蓉胜超微,元器件,广东,1364.01,63660.8,113465.64,141117.98,119351.17,17146.0,90383.31,0.8,0.006,1.15,9.6,20070720
电魂网络,互联网,浙江,53.08,6000.0,24000.0,86315.21,62596.67,1155.14,1465.79,0.06,0.8240000000000001,3.41,17.1,20161026
华钰矿业,铅锌,西藏,195.1,5200.0,52567.66,265324.47,71624.61,66542.5,35630.43,0.68,0.21,2.91,18.02,20160316
三祥新材,矿物制品,福建,156.79,3355.0,13415.0,47227.18,36157.32,8483.37,15671.42,1.17,0.29,3.12,15.78,20160801
新华网,互联网,北京,82.79,5190.29,20761.16,189359.63,126243.7,5494.26,23866.25,1.15,0.774,7.51,11.38,20161028
中光防雷,元器件,四川,104.74,6496.0,16853.0,81122.25,73457.96,4345.75,21052.15,1.25,0.276,4.18,9.22,20150513
王子新材,塑料,深圳,163.02,2256.5,8000.0,60673.82,49081.98,8322.37,16263.69,2.03,0.27699999999999997,5.92,10.18,20141203
赤峰黄金,黄金,内蒙,68.75,61034.19,71319.07,365371.47,137864.02,81330.3,91889.56,1.29,0.214,3.2,6.13,20040414
能科股份,软件服务,北京,360.08,2839.0,11356.0,51872.55,43732.46,3825.81,12962.05,1.14,0.1,5.08,7.38,20161021
大恒科技,软件服务,北京,0.0,43680.0,43680.0,296090.41,195758.3,35400.09,18708.6,0.43,-0.01,3.37,5.55,20001129
朗迪集团,机械基件,浙江,93.97,2368.0,9472.0,104188.1,64570.9,31043.68,21045.53,2.22,0.59,7.66,8.59,20160421
万集科技,软件服务,北京,87.02,2670.0,10670.0,81115.38,69147.86,9731.45,9206.57,0.86,0.525,5.65,10.78,20161021
佳发安泰,软件服务,四川,60.48,1800.0,7180.0,32561.6,21873.02,1223.92,2081.01,0.29,0.556,5.2,8.62,20161101
键桥通讯,软件服务,深圳,0.0,31479.41,39312.0,190156.81,124662.17,30444.38,24750.02,0.63,-0.067,2.11,6.48,20091209
福建金森,林业,福建,0.0,13868.0,13868.0,161388.22,146697.48,2111.28,34162.59,2.46,-0.045,5.09,9.48,20120605
利君股份,专用机械,四川,134.41,37843.1,100250.0,237132.5,170592.25,22502.03,33509.53,0.33,0.065,1.86,6.2,20120106
贝达药业,化学制药,浙江,29.86,4100.0,40100.0,147507.23,74535.5,0.0,0.0,0.0,0.769,3.33,9.19,20161107
通用股份,汽车配件,江苏,107.47,17491.91,72691.9,409778.13,222723.17,144775.31,74228.81,1.02,0.24,3.44,7.58,20160919
同达创业,综合类,上海,48.64,13914.36,13914.36,58900.13,39672.28,1968.67,68.08,0.0,0.537,2.59,13.44,19930504
宝色股份,专用机械,江苏,0.0,6610.0,20200.0,146968.41,90160.53,29076.55,22421.65,1.11,-0.428,3.01,10.2,20141010
西部黄金,黄金,新疆,123.79,18975.0,63600.0,256593.3,67341.42,105915.17,50813.8,0.8,0.17,2.65,10.54,20150122
摩登大道,服饰,广东,0.0,25610.0,40992.17,336135.19,167484.45,38911.53,115820.86,2.83,-0.18,4.77,3.96,20120228
中金黄金,黄金,北京,92.95,345113.72,345113.72,3970576.75,1609219.75,1201852.13,415878.34,1.21,0.11800000000000001,3.88,3.78,20030814
朗源股份,食品,山东,162.03,46161.03,47080.0,125881.65,53270.23,21201.8,7043.56,0.15,0.066,1.88,7.64,20110215
嘉麟杰,服饰,上海,0.0,80665.0,83200.0,167569.81,49726.62,79161.68,201.46,0.0,-0.051,1.04,11.74,20101015
苏州恒久,元器件,江苏,230.3,3000.0,12000.0,55542.73,45809.3,6720.02,20165.7,1.68,0.25,4.2,14.46,20160812
恒邦股份,黄金,山东,48.69,81619.97,91040.0,1189449.88,785430.13,314283.28,98226.96,1.08,0.214,4.05,3.43,20080520
万 科Ａ,全国地产,深圳,26.35,970810.75,1103915.25,75592968.0,66529676.0,544160.69,807854.63,0.73,0.748,9.1,2.89,19910129
